"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 16 20:24:49 UTC 2023","Fri Jun 16 20:24:55 UTC 2023","5902","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Fri Jun 16 20:06:42 UTC 2023","Fri Jun 16 20:07:02 UTC 2023","20020","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Jun 16 20:15:34 UTC 2023","Fri Jun 16 20:15:54 UTC 2023","20144","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Jun 16 20:16:23 UTC 2023","Fri Jun 16 20:16:27 UTC 2023","3146","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Fri Jun 16 20:15:46 UTC 2023","Fri Jun 16 20:15:55 UTC 2023","8904","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"failed","Fri Jun 16 20:07:29 UTC 2023","Fri Jun 16 20:07:55 UTC 2023","26267","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Jun 16 20:21:29 UTC 2023","Fri Jun 16 20:21:58 UTC 2023","29438","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Fri Jun 16 20:13:15 UTC 2023","Fri Jun 16 20:13:15 UTC 2023","3","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"skipped","Fri Jun 16 20:05:03 UTC 2023","Fri Jun 16 20:05:03 UTC 2023","2","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Fri Jun 16 20:07:20 UTC 2023","Fri Jun 16 20:07:49 UTC 2023","28474","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Fri Jun 16 20:22:03 UTC 2023","Fri Jun 16 20:22:15 UTC 2023","11931","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"skipped","Fri Jun 16 20:06:02 UTC 2023","Fri Jun 16 20:06:02 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Fri Jun 16 20:18:34 UTC 2023","Fri Jun 16 20:18:36 UTC 2023","2487","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"skipped","Fri Jun 16 20:05:03 UTC 2023","Fri Jun 16 20:05:03 UTC 2023","2","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Fri Jun 16 20:06:04 UTC 2023","Fri Jun 16 20:06:07 UTC 2023","3127","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"skipped","Fri Jun 16 20:05:03 UTC 2023","Fri Jun 16 20:05:03 UTC 2023","1","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Fri Jun 16 20:13:15 UTC 2023","Fri Jun 16 20:13:15 UTC 2023","2","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Fri Jun 16 20:25:21 UTC 2023","Fri Jun 16 20:25:27 UTC 2023","5939","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Fri Jun 16 20:19:51 UTC 2023","Fri Jun 16 20:19:56 UTC 2023","4265","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Jun 16 20:25:27 UTC 2023","Fri Jun 16 20:25:29 UTC 2023","1760","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Fri Jun 16 20:19:49 UTC 2023","Fri Jun 16 20:19:51 UTC 2023","2418","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri Jun 16 20:17:01 UTC 2023","Fri Jun 16 20:17:12 UTC 2023","11235","","6. Company Account","","","","7. Complete In Company Details",""
"skipped","Fri Jun 16 20:13:15 UTC 2023","Fri Jun 16 20:13:15 UTC 2023","4","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"skipped","Fri Jun 16 20:13:15 UTC 2023","Fri Jun 16 20:13:15 UTC 2023","2","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
